Rut Proveedor,Nombre Empresa,Nro Licitación Pública,CodigoOC,Proviene de Gran Compra,IDProductoCM,Producto,Tipo de Producto,Marca,Modelo,Cantidad,Rut Unidad de Compra,Unidad de Compra,Fecha Envío OC,Región Unidad de Compra,Institución,Sector,year,month
80.522.900-4,KOVACS SPA,2239-4-LR17,2906-52-CM21,No,1670345,CAMIONETA TOYOTA HILUX 2.4L DX CD 4X4 2021,CAMIONETA,TOYOTA,HILUX 2.4L DX CD 4X4,1,69.200.700-k,Ilustre Municipalidad de Futrono,2021-05-04,Los Rios,I MUNICIPALIDAD DE FUTRONO,Municipalidades,2021,5
94.141.000-6,DERCO S.P.A,2239-4-LR17,947750-38-CM21,No,1673841,CAMIONETA JAC T8 2.0L ADVANCE 4X4 2021,CAMIONETA,JAC,T8 2.0L ADVANCE 4X4,2,69.252.500-0,Secplac,2021-05-27,Antofagasta,Ilustre Municipalidad de San Pedro de Atacama,Municipalidades,2021,5
77.008.670-1,PORTILLO S.A.,2239-4-LR17,5190-239-CM21,No,1668644,SUV PEUGEOT  RIFTER ALLURE BLUEHDI 100  2021,SUV,PEUGEOT, RIFTER ALLURE BLUEHDI 100 ,1,60.506.011-0,JENABIEN,2021-05-05,Metropolitana,Policía de Investigaciones de Chile,FFAA,2021,5
84.807.200-1,BRUNO FRITSCH S.A.,2239-4-LR17,3326-82-CM21,No,1670492,CAMIONETA HYUNDAI PORTER 2.5 CRDI 6M/T GL DC 2AB AC 2021,CAMIONETA,HYUNDAI,PORTER 2.5 CRDI 6M/T GL DC 2AB AC,1,61.938.500-4,Depto.Transportes L.3,2021-05-07,Metropolitana,DIRECCION DE LOGISTICA DE CARABINEROS,FFAA,2021,5
76.005.909-9,COMERCIAL MOTORES DE LOS ANDES SPA,2239-4-LR17,1736-1167-CM21,No,1670549,CAMIONETA MAXUS T60 2.8L DX 4X2 2021,CAMIONETA,MAXUS,T60 2.8L DX 4X2,1,69.255.300-4,I MUNICIPALIDAD DE LA COMUNA DE EL BOSQUE,2021-05-07,Metropolitana,Ilustre Municipalidad de El Bosque,Municipalidades,2021,5
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,1048-336-CM21,No,1670300,CAMIONETA CHEVROLET COLORADO LT MT 2.8TD 4WD M 2021,CAMIONETA,CHEVROLET,COLORADO LT MT 2.8TD 4WD M,1,69.073.700-0,Ilustre Municipalidad de El Tabo,2021-05-14,Valparaiso,Ilustre Municipalidad de El Tabo,Municipalidades,2021,5
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,1183-23-CM21,No,1669220,SUV TOYOTA RAV4 LE 2.0 4X2 MT 2021,SUV,TOYOTA,RAV4 LE 2.0 4X2 MT,1,61.202.000-0,SEREMI LA ARAUCANIA,2021-05-10,Araucania,Ministerio de Obras Publicas Dirección Gral. de OOPP,Obras Públicas,2021,5
76.005.909-9,COMERCIAL MOTORES DE LOS ANDES SPA,2239-4-LR17,3887-249-CM21,No,1670551,CAMIONETA MAXUS T60 2.8L DX 4X4 2021,CAMIONETA,MAXUS,T60 2.8L DX 4X4,1,69.191.500-K,I MUNICIPALIDAD DE VILLARRICA,2021-05-11,Araucania,I MUNICIPALIDAD DE VILLARRICA,Municipalidades,2021,5
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,2885-137-CM21,No,1670399,CAMIONETA MITSUBISHI L200 KATANA CRM 4X4 2021,CAMIONETA,MITSUBISHI,L200 KATANA CRM 4X4,1,69.210.600-8,DIRECCION DE ADMINISTRACION Y FINANZAS,2021-05-11,Los Lagos,I MUNICIPALIDAD DE PUYEHUE,Municipalidades,2021,5
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,2723-63-CM21,No,1669206,SUV FIAT QUBO DYNAMIC 1.4 2021,SUV,FIAT,QUBO DYNAMIC 1.4,2,69.072.500-2,MUNICIPALIDAD DE BUIN_ SECPLA,2021-05-12,Metropolitana,MUNICIPALIDAD DE BUIN,Municipalidades,2021,5
78.098.600-K,MARCELO FRONZA Y CIA LTDA,2239-4-LR17,2546-266-CM21,No,1670551,CAMIONETA MAXUS T60 2.8L DX 4X4 2021,CAMIONETA,MAXUS,T60 2.8L DX 4X4,1,61.955.000-5,MUNICIPALIDAD DE PADRE LAS CASAS,2021-05-28,Araucania,I MUNICIPALIDAD DE PADRE LAS CASAS,Municipalidades,2021,5
80.522.900-4,KOVACS SPA,2239-4-LR17,879-102-CM21,No,1668771,SUV CHEVROLET CAPTIVA LT 1.5T 2WD MT 2021,SUV,CHEVROLET,CAPTIVA LT 1.5T 2WD MT,1,60.110.000-2,Instituto Nacional de la Juventud - MIDESO,2021-05-13,Metropolitana,INSTITUTO NACIONAL DE LA JUVENTUD,"Gob. Central, Universidades",2021,5
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,1051173-86-CM21,No,1669969,SEDÁN HYUNDAI AZERA IG 3.0 AT LIMITED 2021,SEDÁN,HYUNDAI,AZERA IG 3.0 AT LIMITED,1,60.100.003-2,Ministerio Secretaria General de la Presidencia,2021-05-20,Metropolitana,MINISTERIO SECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,"Gob. Central, Universidades",2021,5
80.522.900-4,KOVACS SPA,2239-4-LR17,3200-151-CM21,No,1670345,CAMIONETA TOYOTA HILUX 2.4L DX CD 4X4 2021,CAMIONETA,TOYOTA,HILUX 2.4L DX CD 4X4,1,69.191.100-4,Departamento de Salud,2021-05-14,Araucania,I MUNICIPALIDAD DE LONCOCHE,Municipalidades,2021,5
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,2939-162-CM21,Sí,1703350,SUV HYUNDAI SANTA FE TM 2.5 AT PLUS FL 2021,SUV,HYUNDAI,SANTA FE TM 2.5 AT PLUS FL,4,60.506.000-5,JEFATURA NACIONAL DE APOYO POLICIAL,2021-05-27,Metropolitana,Policía de Investigaciones de Chile,FFAA,2021,5
86.519.000-K,Maritano y Ebensperger Ltda.,2239-4-LR17,2333-608-CM21,No,1670551,CAMIONETA MAXUS T60 2.8L DX 4X4 2021,CAMIONETA,MAXUS,T60 2.8L DX 4X4,2,69.130.300-4,ILUSTRE MUNICIPALIDAD DE LINARES,2021-05-17,Maule,ILUSTRE MUNICIPALIDAD DE LINARES,Municipalidades,2021,5
86.385.500-4,COMERCIAL ANFRUNS Y COMPANIA SPA,2239-4-LR17,3946-546-CM21,No,1670574,CAMIONETA GREAT WALL WINGLE5 2.2L ELITE PLUS GASOLINA 2021,CAMIONETA,GREAT WALL,WINGLE5 2.2L ELITE PLUS GASOLINA,1,69.081.100-6,Administración y Finanzas,2021-05-19,Ohiggins,I MUNICIPALIDAD DE PICHIDEGUA,Municipalidades,2021,5
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,3134-256-CM21,No,1669937,SEDÁN HYUNDAI ACCENT HCI 1.4 MT VALUE 2021,SEDÁN,HYUNDAI,ACCENT HCI 1.4 MT VALUE,1,61.102.014-7,DIRECCION GENERAL DEL TERRITORIO MARITIMO Y M.M.,2021-05-26,Valparaiso,DIRECCION GENERAL DE LOS SERVICIOS DE LA ARMADA,FFAA,2021,5
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,3134-256-CM21,No,1703350,SUV HYUNDAI SANTA FE TM 2.5 AT PLUS FL 2021,SUV,HYUNDAI,SANTA FE TM 2.5 AT PLUS FL,1,61.102.014-7,DIRECCION GENERAL DEL TERRITORIO MARITIMO Y M.M.,2021-05-26,Valparaiso,DIRECCION GENERAL DE LOS SERVICIOS DE LA ARMADA,FFAA,2021,5
80.522.900-4,KOVACS SPA,2239-4-LR17,3014-241-CM21,No,1670682,FURGÓN CHEVROLET N400 MAX II 1.5L MT AC 2021,FURGÓN,CHEVROLET,N400 MAX II 1.5L MT AC,1,69.081.600-8,Direccion Administracion y Finanzas,2021-05-25,Ohiggins,I.Municipalidad de Coinco,Municipalidades,2021,5
96.918.300-5,DIFOR CHILE SOCIEDAD ANONIMA,2239-4-LR17,3942-228-CM21,No,1670402,CAMIONETA MITSUBISHI L200 WORK CR 4X2 2021,CAMIONETA,MITSUBISHI,L200 WORK CR 4X2,1,69.160.300-8,Departamento Salud,2021-05-28,Biobio,Ilustre Municipalidad de Lebu,Municipalidades,2021,5
94.141.000-6,DERCO S.P.A,2239-4-LR17,2786-308-CM21,No,1669273,SUV JAC S3 1.6L COMFORT SMART 2021,SUV,JAC,S3 1.6L COMFORT SMART,1,69.264.800-5,DIRECCION DE ADMINISTRACION DE  SALUD,2021-05-27,Biobio,I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,Municipalidades,2021,5
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,5240-151-SE21,No,1669538,SUV NISSAN X-TRAIL SENSE 2ROW 4X4 2021,SUV,NISSAN,X-TRAIL SENSE 2ROW 4X4,2,61.938.500-4,Direccion de Compras Publicas de Carabineros,2021-05-28,Metropolitana,DIRECCION DE LOGISTICA DE CARABINEROS,FFAA,2021,5
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,5240-151-SE21,No,1670300,CAMIONETA CHEVROLET COLORADO LT MT 2.8TD 4WD M 2021,CAMIONETA,CHEVROLET,COLORADO LT MT 2.8TD 4WD M,3,61.938.500-4,Direccion de Compras Publicas de Carabineros,2021-05-28,Metropolitana,DIRECCION DE LOGISTICA DE CARABINEROS,FFAA,2021,5
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,3880-171-CM21,No,1670138,SEDÁN CHEVROLET SAIL NB 1.5 LS ABS L 2021,SEDÁN,CHEVROLET,SAIL NB 1.5 LS ABS L,1,69.110.900-3,Municipalidad de Maule,2021-05-31,Maule,Ilustre Municipalidad de Maule,Municipalidades,2021,5
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,3880-171-CM21,No,1670422,CAMIONETA SSANGYONG MUSSO GRAND FULL DIESEL 4X4 2.2L MT 2021,CAMIONETA,SSANGYONG,MUSSO GRAND FULL DIESEL 4X4 2.2L MT,1,69.110.900-3,Municipalidad de Maule,2021-05-31,Maule,Ilustre Municipalidad de Maule,Municipalidades,2021,5
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,2436-807-CM21,No,1670344,CAMIONETA TOYOTA HILUX 2.4L DX CD 4X2 2021,CAMIONETA,TOYOTA,HILUX 2.4L DX CD 4X2,2,69.100.100-8,IMUNI_CURICOADQUISICIONES,2021-05-31,Maule,I.Municipalidad de Curicó,Municipalidades,2021,5
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,525800-327-CM21,No,1670383,CAMIONETA MITSUBISHI L200 4X4 KATANA CRT 2021,CAMIONETA,MITSUBISHI,L200 4X4 KATANA CRT,1,69.050.600-9,Cesfam Segismundo Iturra Taito,2021-05-31,Valparaiso,I MUNICIPALIDAD DE SAN FELIPE,Municipalidades,2021,5
79.853.470-K,AUTOMOTRIZ CORDILLERA S.A.,2239-4-LR17,3806-86-CM21,No,1670382,CAMIONETA MITSUBISHI L200 4X4 KATANA CRM 2021,CAMIONETA,MITSUBISHI,L200 4X4 KATANA CRM,1,69.120.200-3,Salud Municipal,2021-05-31,Maule,I MUNICIPALIDAD DE EMPEDRADO,Municipalidades,2021,5
84.807.200-1,BRUNO FRITSCH S.A.,2239-4-LR17,2939-137-CM21,Sí,1668686,SUV TOYOTA 4RUNNER 4X2 SR5 CONTROL VOLANTE *NUEVA 2021,SUV,TOYOTA,4RUNNER 4X2 SR5 CONTROL VOLANTE *NUEVA,5,60.506.000-5,JEFATURA NACIONAL DE APOYO POLICIAL,2021-06-01,Metropolitana,Policía de Investigaciones de Chile,FFAA,2021,6
84.807.200-1,BRUNO FRITSCH S.A.,2239-4-LR17,2939-138-CM21,Sí,1669065,SUV TOYOTA LAND CRUISER PRADO VX-L LIMITED 2021,SUV,TOYOTA,LAND CRUISER PRADO VX-L LIMITED,2,60.506.000-5,JEFATURA NACIONAL DE APOYO POLICIAL,2021-06-01,Metropolitana,Policía de Investigaciones de Chile,FFAA,2021,6
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,2939-139-CM21,Sí,1668687,SUV TOYOTA 4RUNNER 4X4 LIMITED *NUEVA 2021,SUV,TOYOTA,4RUNNER 4X4 LIMITED *NUEVA,5,60.506.000-5,JEFATURA NACIONAL DE APOYO POLICIAL,2021-06-01,Metropolitana,Policía de Investigaciones de Chile,FFAA,2021,6
81.318.700-0,POMPEYO CARRASCO Y CIA LTDA,2239-4-LR17,2939-160-CM21,Sí,1694990,CAMIONETA NISSAN NAVARA CD SE 4X4 2021,CAMIONETA,NISSAN,NAVARA CD SE 4X4,5,60.506.000-5,JEFATURA NACIONAL DE APOYO POLICIAL,2021-06-10,Metropolitana,Policía de Investigaciones de Chile,FFAA,2021,6
76.005.909-9,COMERCIAL MOTORES DE LOS ANDES SPA,2239-4-LR17,3731-97-CM21,No,1670551,CAMIONETA MAXUS T60 2.8L DX 4X4 2021,CAMIONETA,MAXUS,T60 2.8L DX 4X4,1,69.090.300-8,Depto Salud,2021-06-11,Ohiggins,Ilustre Municipalidad de Chimbarongo,Municipalidades,2021,6
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,2483-448-CM21,No,1670138,SEDÁN CHEVROLET SAIL NB 1.5 LS ABS L 2021,SEDÁN,CHEVROLET,SAIL NB 1.5 LS ABS L,2,69.071.300-4,DEPARTAMENTO COMPRAS PÚBLICAS,2021-06-23,Metropolitana,Ilustre Municipalidad de Quilicura,Municipalidades,2021,6
76.005.909-9,COMERCIAL MOTORES DE LOS ANDES SPA,2239-4-LR17,2422-795-CM21,Sí,1670549,CAMIONETA MAXUS T60 2.8L DX 4X2 2021,CAMIONETA,MAXUS,T60 2.8L DX 4X2,10,69.072.100-7,IMUNI_PTEALTO ADQUISICIONES,2021-06-02,Metropolitana,MUNICIPALIDAD DE PUENTE ALTO,Municipalidades,2021,6
76.758.790-2,HVCCSA,2239-4-LR17,2445-585-CM21,No,1670646,FURGÓN HYUNDAI H-350 FURGON SOLATI CARGO VAN 2021,FURGÓN,HYUNDAI,H-350 FURGON SOLATI CARGO VAN,1,69.100.100-8,Salud - Adquisiciones,2021-06-03,Maule,I.Municipalidad de Curicó,Municipalidades,2021,6
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,1177296-28-CM21,No,1668769,SUV CHEVROLET CAPTIVA 1.5L PREMIER 2021,SUV,CHEVROLET,CAPTIVA 1.5L PREMIER,1,62.000.890-7,Dirección Nacional,2021-06-03,Metropolitana,SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI,Otros,2021,6
86.519.000-K,Maritano y Ebensperger Ltda.,2239-4-LR17,4099-138-CM21,No,1668979,SUV OPEL GRANDLAND X 1.6L TD LIMITED AUT 2021,SUV,OPEL,GRANDLAND X 1.6L TD LIMITED AUT,1,69.073.300-5,Secretaria Comunal de Planificación,2021-06-07,Metropolitana,I MUNICIPALIDAD DE MARIA PINTO,Municipalidades,2021,6
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,4513-99-CM21,No,1669226,SUV TOYOTA RAV4 XLE 2.5 4X2 CVT HV 2021,SUV,TOYOTA,RAV4 XLE 2.5 4X2 CVT HV,1,69.180.400-3,Adquisiciones,2021-06-07,Araucania,Ilustre Municipalidad de Renaico,Municipalidades,2021,6
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,768-109-CM21,No,1670099,SEDÁN NISSAN NEW VERSA 1.6L SENSE MT 2021,SEDÁN,NISSAN,NEW VERSA 1.6L SENSE MT,3,72.223.100-7,Gobierno Regional de Tarapacá,2021-06-07,Tarapaca,GOBIERNO REGIONAL DE TARAPACA,"Gob. Central, Universidades",2021,6
80.522.900-4,KOVACS SPA,2239-4-LR17,1177296-32-CM21,No,1669210,SUV TOYOTA RAV4 2.0L LE AUT 2021,SUV,TOYOTA,RAV4 2.0L LE AUT,1,62.000.890-7,Dirección Nacional,2021-06-08,Metropolitana,SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI,Otros,2021,6
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,3494-175-CM21,No,1670381,CAMIONETA MITSUBISHI L200 4X2 WORK CR 2021,CAMIONETA,MITSUBISHI,L200 4X2 WORK CR,1,69.190.800-3,Departamento Educación,2021-06-10,Araucania,I MUNICIPALIDAD DE VILCUN,Municipalidades,2021,6
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,3597-366-CM21,No,1703353,SUV HYUNDAI SANTA FE TM 2.2 CRDI AT PLUS FL 2021,SUV,HYUNDAI,SANTA FE TM 2.2 CRDI AT PLUS FL,1,69.040.500-8,Ilustre Municipalidad de Vicuña,2021-06-11,Coquimbo,I MUNICIPALIDAD DE VICUNA,Municipalidades,2021,6
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,605-292-CM21,No,1670181,SEDÁN NISSAN VERSA 1.6L DRIVE MT 2021,SEDÁN,NISSAN,VERSA 1.6L DRIVE MT,1,61.006.000-5,Consejo de Defensa del Estado,2021-06-15,Metropolitana,Consejo de Defensa del Estado,"Gob. Central, Universidades",2021,6
94.141.000-6,DERCO S.P.A,2239-4-LR17,1057299-475-CM21,No,1670583,CAMIONETA GREAT WALL WINGLE7 2.0L ELITE 4X4 2021,CAMIONETA,GREAT WALL,WINGLE7 2.0L ELITE 4X4,1,69.130.601-1,Ilustre Municipalidad de Longaví- Educación,2021-06-15,Maule,I MUNICIPALIDAD DE LONGAVI,Municipalidades,2021,6
80.522.900-4,KOVACS SPA,2239-4-LR17,3684-79-CM21,No,1670345,CAMIONETA TOYOTA HILUX 2.4L DX CD 4X4 2021,CAMIONETA,TOYOTA,HILUX 2.4L DX CD 4X4,1,69.061.700-5,Departamento de educacion,2021-06-18,Valparaiso,I MUNICIPALIDAD DE EL QUISCO,Municipalidades,2021,6
80.522.900-4,KOVACS SPA,2239-4-LR17,5890-125-CM21,No,1669210,SUV TOYOTA RAV4 2.0L LE AUT 2021,SUV,TOYOTA,RAV4 2.0L LE AUT,3,60.506.000-5,JENANCO,2021-06-16,Metropolitana,Policía de Investigaciones de Chile,FFAA,2021,6
86.519.000-K,Maritano y Ebensperger Ltda.,2239-4-LR17,5297-13-CM21,No,1670342,CAMIONETA TOYOTA HILUX 2.4 4X4 MT DX 2021,CAMIONETA,TOYOTA,HILUX 2.4 4X4 MT DX,1,61.102.156-9,PREDIOS FISCALES IIa. ZONA NAVAL,2021-06-17,Biobio,DIRECCION GENERAL DE LOS SERVICIOS DE LA ARMADA,FFAA,2021,6
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,757-1078-CM21,No,1669969,SEDÁN HYUNDAI AZERA IG 3.0 AT LIMITED 2021,SEDÁN,HYUNDAI,AZERA IG 3.0 AT LIMITED,1,61.601.000-k,Subsecretaría de Salud Pública,2021-06-22,Metropolitana,Subsecretaría de Salud Pública,Salud,2021,6
80.522.900-4,KOVACS SPA,2239-4-LR17,4090-256-CM21,No,1670440,CAMIONETA NISSAN NAVARA NP300 2.3L XE 4X4 DC AUDIO 2021,CAMIONETA,NISSAN,NAVARA NP300 2.3L XE 4X4 DC AUDIO,2,69.220.500-6,Departamento de Salud,2021-06-23,Los Lagos,I MUNICIPALIDAD DE MAULLIN,Municipalidades,2021,6
79.853.470-K,AUTOMOTRIZ CORDILLERA S.A.,2239-4-LR17,1069417-849-CM21,No,1694990,CAMIONETA NISSAN NAVARA CD SE 4X4 2021,CAMIONETA,NISSAN,NAVARA CD SE 4X4,1,69.270.200-k,Dirección  de Salud Municipal Chillán,2021-06-26,Maule,I MUNICIPALIDAD DE CHILLAN,Municipalidades,2021,6
80.522.900-4,KOVACS SPA,2239-4-LR17,3632-225-CM21,No,1669844,HATCHBACK CHEVROLET SPARK GT 1.2 II MT LT AC 2021,SEDÁN,CHEVROLET,SPARK GT 1.2 II MT LT AC,2,69.060.600-3,Municipalidad De Nogales Dpto Salud,2021-06-30,Valparaiso,I MUNICIPALIDAD DE NOGALES,Municipalidades,2021,6
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,5240-152-CM21,Sí,1670099,SEDÁN NISSAN NEW VERSA 1.6L SENSE MT 2021,SEDÁN,NISSAN,NEW VERSA 1.6L SENSE MT,14,61.938.500-4,Direccion de Compras Publicas de Carabineros,2021-07-08,Metropolitana,DIRECCION DE LOGISTICA DE CARABINEROS,FFAA,2021,7
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,730566-205-CM21,No,1703351,SUV HYUNDAI SANTA FE TM 2.5 AT VALUE FL 2021,SUV,HYUNDAI,SANTA FE TM 2.5 AT VALUE FL,1,61.980.240-3,Subsecretaría de Evaluación Social,2021-07-02,Metropolitana,SUBSECRETARIA DE EVALUACION SOCIAL,"Gob. Central, Universidades",2021,7
80.522.900-4,KOVACS SPA,2239-4-LR17,1048-440-CM21,No,1669425,SUV CHEVROLET TRAILBLAZER PREMIER AT 2.8D AWD L 2021,SUV,CHEVROLET,TRAILBLAZER PREMIER AT 2.8D AWD L,1,69.073.700-0,Ilustre Municipalidad de El Tabo,2021-07-02,Valparaiso,Ilustre Municipalidad de El Tabo,Municipalidades,2021,7
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,876-217-CM21,No,1668771,SUV CHEVROLET CAPTIVA LT 1.5T 2WD MT 2021,SUV,CHEVROLET,CAPTIVA LT 1.5T 2WD MT,1,60.101.000-3,Ministerio Secretaría General de Gobierno,2021-07-01,Metropolitana,SECRETARIA GENERAL DE GOBIERNO,"Gob. Central, Universidades",2021,7
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,3766-160-CM21,No,1703422,HATCHBACK HYUNDAI GRAND I-10 AI3 HB 1.2 MT PLUS 2021,SEDÁN,HYUNDAI,GRAND I-10 AI3 HB 1.2 MT PLUS,1,69.110.600-4,Salud,2021-07-05,Maule,I MUNICIPALIDAD DE PELARCO,Municipalidades,2021,7
77.008.670-1,PORTILLO S.A.,2239-4-LR17,2628-235-CM21,No,1694992,CAMIONETA NISSAN NAVARA CD XE 4X4 2021,CAMIONETA,NISSAN,NAVARA CD XE 4X4,1,69.050.700-5,DEPARTAMENTO DE SALUD,2021-07-07,Valparaiso,I MUNICIPALIDAD DE PUTAENDO,Municipalidades,2021,7
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,1069417-934-CM21,No,1670175,SEDÁN HYUNDAI VERNA CB 1.4 MT PLUS 2021,SEDÁN,HYUNDAI,VERNA CB 1.4 MT PLUS,1,69.270.200-k,Dirección  de Salud Municipal Chillán,2021-07-08,Maule,I MUNICIPALIDAD DE CHILLAN,Municipalidades,2021,7
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,3014-310-CM21,No,1670381,CAMIONETA MITSUBISHI L200 4X2 WORK CR 2021,CAMIONETA,MITSUBISHI,L200 4X2 WORK CR,1,69.081.600-8,Direccion Administracion y Finanzas,2021-07-08,Ohiggins,I.Municipalidad de Coinco,Municipalidades,2021,7
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,2018-138-CM21,No,1670300,CAMIONETA CHEVROLET COLORADO LT MT 2.8TD 4WD M 2021,CAMIONETA,CHEVROLET,COLORADO LT MT 2.8TD 4WD M,2,61.104.000-8,UNIDAD DE COMPRA DASA,2021-07-14,Metropolitana,Dirección General de Aeronáutica Civil,"Gob. Central, Universidades",2021,7
96.918.300-5,DIFOR CHILE SOCIEDAD ANONIMA,2239-4-LR17,3507-1011-CM21,No,1669159,SUV MITSUBISHI OUTLANDER 2.0L AT 4X2 2021,SUV,MITSUBISHI,OUTLANDER 2.0L AT 4X2,1,65.321.890-7,Departamento de Salud,2021-07-12,Los Lagos,I MUNICIPALIDAD DE CALBUCO,Municipalidades,2021,7
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,3690-248-CM21,No,1668989,SUV CHEVROLET GROOVE LT MT 2021,SUV,CHEVROLET,GROOVE LT MT,2,69.080.800-5,Salud,2021-07-19,Ohiggins,Ilustre Municipalidad de Las Cabras,Municipalidades,2021,7
76.005.909-9,COMERCIAL MOTORES DE LOS ANDES SPA,2239-4-LR17,3945-393-CM21,No,1670550,CAMIONETA MAXUS T60 2.8L DX 4X2 CS 2021,CAMIONETA,MAXUS,T60 2.8L DX 4X2 CS,1,69.160.400-4,Administración y Finanzas,2021-07-12,Biobio,I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL,Municipalidades,2021,7
76.005.909-9,COMERCIAL MOTORES DE LOS ANDES SPA,2239-4-LR17,3945-393-CM21,No,1670549,CAMIONETA MAXUS T60 2.8L DX 4X2 2021,CAMIONETA,MAXUS,T60 2.8L DX 4X2,1,69.160.400-4,Administración y Finanzas,2021-07-12,Biobio,I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL,Municipalidades,2021,7
94.141.000-6,DERCO S.P.A,2239-4-LR17,837-393-CM21,No,1830212,SEDÁN MAZDA 6 SDN V 2.5 6AT CUERO 2021,SEDÁN,MAZDA,6 SDN V 2.5 6AT CUERO,1,61.003.000-9,SERVICIO MEDICO LEGAL,2021-07-14,Los Lagos,Servicio Médico Legal,"Gob. Central, Universidades",2021,7
96.918.300-5,DIFOR CHILE SOCIEDAD ANONIMA,2239-4-LR17,3203-526-CM21,No,1670470,CAMIONETA VOLKSWAGEN NUEVA AMAROK COMFORTLINE 4MOTION AT 2021,CAMIONETA,VOLKSWAGEN,NUEVA AMAROK COMFORTLINE 4MOTION AT,1,69.191.100-4,Administración y Finanzas,2021-07-19,Araucania,I MUNICIPALIDAD DE LONCOCHE,Municipalidades,2021,7
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,622-238-CM21,No,1669027,SUV NISSAN KICKS 1.6L ADVANCE AUT 2021,SUV,NISSAN,KICKS 1.6L ADVANCE AUT,1,60.805.000-0,Tesorería General de la República,2021-07-23,Metropolitana,Tesorería General de la República,"Gob. Central, Universidades",2021,7
86.519.000-K,Maritano y Ebensperger Ltda.,2239-4-LR17,3887-381-CM21,No,1669213,SUV TOYOTA RAV4 2.5L XLE 4X4 AUT 2021,SUV,TOYOTA,RAV4 2.5L XLE 4X4 AUT,1,69.191.500-K,I MUNICIPALIDAD DE VILLARRICA,2021-07-22,Araucania,I MUNICIPALIDAD DE VILLARRICA,Municipalidades,2021,7
84.807.200-1,BRUNO FRITSCH S.A.,2239-4-LR17,2939-278-CM21,No,1670436,CAMIONETA NISSAN NAVARA NP300 2.3L SE 4X4 DC 2021,CAMIONETA,NISSAN,NAVARA NP300 2.3L SE 4X4 DC,1,60.506.000-5,JEFATURA NACIONAL DE APOYO POLICIAL,2021-07-26,Metropolitana,Policía de Investigaciones de Chile,FFAA,2021,7
